parameter,symbol,point_estimate,distribution,param1,param2,range_low,range_high,source,confidence
AI Growth Rate,g_ai,0.25,lognormal,-1.39,0.30,0.10,0.50,Amodei 2024; AI Index Report,Medium
Cognitive Multiplier Max,M_max_cognitive,5.0,lognormal,1.61,0.20,3.0,8.0,Expert elicitation,Low
Physical Multiplier Max,M_max_physical,2.0,lognormal,0.69,0.15,1.5,3.0,Lab automation studies,Medium
Clinical Multiplier Max,M_max_clinical,3.0,lognormal,1.10,0.20,2.0,5.0,Clinical AI literature,Medium
Regulatory Multiplier Max,M_max_regulatory,1.5,lognormal,0.41,0.15,1.2,2.0,FDA data,High
Phase 2 Success Baseline,p_phase2_base,0.30,beta,6,14,0.20,0.40,FDA CDER 2015-2023,High
Phase 2 Success Max,p_phase2_max,0.60,beta,12,8,0.45,0.75,AI drug discovery papers,Low
Saturation Rate,k_saturation,0.15,uniform,0.10,0.20,0.10,0.20,Tech diffusion models,Medium
Data Quality Factor,gamma_data,0.8,triangular,0.6,1.0,0.6,1.0,Biobank literature,Medium
Feedback Strength,alpha_feedback,0.1,uniform,0.05,0.15,0.05,0.15,System dynamics models,Low
QALY per Cure,qaly_per_cure,15.0,triangular,8.0,25.0,8.0,25.0,WHO GBD; NICE,Medium
Value per QALY,value_per_qaly,150000,lognormal,11.92,0.25,100000,250000,HTA guidelines,High
